query_id,query,order,threshold,file_id,table_id,id
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",116,0.6000000000000001,2409.08498v1,S5.T11,2409.08498v1_S5.T11
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",117,0.6000000000000001,2406.15319,A1.T7.1,2406.15319_A1.T7.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",118,0.6000000000000001,2404.18961v1,S4.T9,2404.18961v1_S4.T9
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",119,0.6000000000000001,2404.10029,S4.T1,2404.10029_S4.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",120,0.6000000000000001,2407.05154,S4.T7.11,2407.05154_S4.T7.11
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",121,0.6000000000000001,2407.05154,S4.T8.3,2407.05154_S4.T8.3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",122,0.6000000000000001,2409.17874,A4.T2.4.1,2409.17874_A4.T2.4.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",123,0.6000000000000001,2303.05977v2,S5.T4,2303.05977v2_S5.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",124,0.6000000000000001,2409.08498v1,S4.T3,2409.08498v1_S4.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",125,0.6000000000000001,2404.18961v1,S2.T2,2404.18961v1_S2.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",126,0.6000000000000001,2408.01931v2,S3.T1,2408.01931v2_S3.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",127,0.6000000000000001,2408.01931v2,S5.T3,2408.01931v2_S5.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",128,0.6000000000000001,2405.13018,Sx4.T1,2405.13018_Sx4.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",129,0.6000000000000001,2409.08498v1,S4.T4,2409.08498v1_S4.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",130,0.6000000000000001,2208.07900,S5.T2.15,2208.07900_S5.T2.15
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",131,0.6000000000000001,2410.10089v1,S4.T4,2410.10089v1_S4.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",132,0.6000000000000001,2405.13018,A1.T6,2405.13018_A1.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",133,0.6000000000000001,2405.13018,Sx4.T2,2405.13018_Sx4.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",134,0.6000000000000001,2406.15319,S3.T4.1,2406.15319_S3.T4.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",135,0.6000000000000001,2409.08498v1,S5.T10,2409.08498v1_S5.T10
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",136,0.6000000000000001,2405.13018,Sx5.T5,2405.13018_Sx5.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",137,0.6000000000000001,2409.17874,S3.T1.5.1,2409.17874_S3.T1.5.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",138,0.6000000000000001,2303.12317,A2.T5,2303.12317_A2.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",139,0.6000000000000001,2208.07900,A7.T8.6,2208.07900_A7.T8.6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",140,0.6000000000000001,2410.13042v1,A2.T5,2410.13042v1_A2.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",141,0.6000000000000001,2409.08933v1,S5.T2,2409.08933v1_S5.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",142,0.6000000000000001,2406.06679,S4.T1,2406.06679_S4.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",143,0.6000000000000001,2409.08933v1,S5.T3,2409.08933v1_S5.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",144,0.6000000000000001,2409.08498v1,A1.T12,2409.08498v1_A1.T12
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",145,0.6000000000000001,2407.05154,S5.T12.1,2407.05154_S5.T12.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",146,0.6000000000000001,2409.08498v1,S5.T7,2409.08498v1_S5.T7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",147,0.6000000000000001,2410.13042v1,A2.T8,2410.13042v1_A2.T8
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",148,0.6000000000000001,2409.08498v1,S5.T8,2409.08498v1_S5.T8
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",149,0.6000000000000001,2006.05148,S3.T1,2006.05148_S3.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",150,0.6000000000000001,2409.08498v1,S5.T6,2409.08498v1_S5.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",151,0.6000000000000001,2410.13042v1,A2.T6,2410.13042v1_A2.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",152,0.6000000000000001,2006.05148,S4.T3,2006.05148_S4.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",153,0.6000000000000001,2409.08933v1,S5.T5,2409.08933v1_S5.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",154,0.6000000000000001,2410.13042v1,A2.T7,2410.13042v1_A2.T7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",155,0.6000000000000001,2208.07900,A6.T7.6,2208.07900_A6.T7.6
